Team,Player,Stat_cat,Bat/Pitch,Stat,Season,Split,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
HOUSTON ASTROS,Jose Altuve,advanced,Batter,Handedness,2022,vs L as R,9.5%,20.3%,0.47,.313,.378,.731,1.110,.418,.311,18,9.1,.464,212
HOUSTON ASTROS,Jose Altuve,advanced,Batter,Handedness,2022,vs R as R,11.9%,14.0%,0.85,.269,.370,.468,.838,.199,.277,38,10.7,.367,144
HOUSTON ASTROS,Jose Altuve,advanced,Batter,Handedness,2022,vs L,9.5%,20.3%,0.47,.313,.378,.731,1.110,.418,.311,18,9.1,.464,212
HOUSTON ASTROS,Jose Altuve,advanced,Batter,Handedness,2022,vs R,11.9%,14.0%,0.85,.269,.370,.468,.838,.199,.277,38,10.7,.367,144
HOUSTON ASTROS,Aledmys Díaz,advanced,Batter,Handedness,2022,vs L as R,12.8%,14.9%,0.86,.244,.340,.366,.706,.122,.273,6,0.3,.318,109
HOUSTON ASTROS,Aledmys Díaz,advanced,Batter,Handedness,2022,vs R as R,4.4%,19.9%,0.22,.240,.279,.388,.667,.147,.268,14,-2.0,.292,91
HOUSTON ASTROS,Aledmys Díaz,advanced,Batter,Handedness,2022,vs L,12.8%,14.9%,0.86,.244,.340,.366,.706,.122,.273,6,0.3,.318,109
HOUSTON ASTROS,Aledmys Díaz,advanced,Batter,Handedness,2022,vs R,4.4%,19.9%,0.22,.240,.279,.388,.667,.147,.268,14,-2.0,.292,91
HOUSTON ASTROS,Kyle Tucker,advanced,Batter,Handedness,2022,vs L as L,9.4%,11.3%,0.83,.263,.330,.495,.825,.232,.244,16,3.8,.355,135
HOUSTON ASTROS,Kyle Tucker,advanced,Batter,Handedness,2022,vs R as L,14.2%,17.4%,0.82,.257,.361,.481,.842,.225,.266,35,9.6,.365,143
HOUSTON ASTROS,Kyle Tucker,advanced,Batter,Handedness,2022,vs L,9.4%,11.3%,0.83,.263,.330,.495,.825,.232,.244,16,3.8,.355,135
HOUSTON ASTROS,Kyle Tucker,advanced,Batter,Handedness,2022,vs R,14.2%,17.4%,0.82,.257,.361,.481,.842,.225,.266,35,9.6,.365,143
HOUSTON ASTROS,Alex Bregman,advanced,Batter,Handedness,2022,vs L as R,13.6%,15.3%,0.89,.180,.305,.290,.595,.110,.210,10,-3.2,.276,80
